date,home,away,home_score,away_score
2026-10-23,Shelby,Muskegon Orchard View,,
2026-10-23,Shepherd,Grayling,,
2026-10-23,South Lyon,Livonia Stevenson,,
2026-10-23,Southfield Arts & Technology,Clinton Township Chippewa Valley,,
2026-10-23,Southgate Anderson,Carleton Airport,,
2026-10-23,Sparta,Cedar Springs,,
2026-10-23,Spring Lake,Zeeland West,,
2026-10-23,St Clair,Fraser,,
2026-10-23,St Clair Shores Lake Shore,Warren Cousino,,
2026-10-23,St Johns,Ypsilanti Lincoln,,
2026-10-23,St Joseph,Portage Central,,
2026-10-23,Standish-Sterling,Reed City,,
2026-10-23,Sterling Heights Stevenson,St Clair Shores Lakeview,,
2026-10-23,Stevensville Lakeshore,Portage Northern,,
2026-10-23,Stockbridge,Springport,,
2026-10-23,Tawas,Maple City Glen Lake,,
2026-10-23,Three Rivers,Sturgis,,
2026-10-23,Toledo St Francis De Sales (OH),Toledo St John's Jesuit (OH),,
2026-10-23,Traverse City Central,Traverse City West,,
2026-10-23,Troy,Waterford Mott,,
2026-10-23,Troy Athens,Berkley,,
2026-10-23,Utica,Birmingham Seaholm,,
2026-10-23,Vandercook Lake,Perry,,
2026-10-23,Vermontville Maple Valley,Union City,,
2026-10-23,Vestaburg,International Academy of Flint,,
2026-10-23,Vicksburg,Paw Paw,,
2026-10-23,Walled Lake Central,Livonia Franklin,,
2026-10-23,Walled Lake Northern,North Farmington,,
2026-10-23,Warren De La Salle Collegiate,Toledo Central Catholic (OH),,
2026-10-23,Warren Lincoln,Center Line,,
2026-10-23,Warren Mott,Utica Ford,,
2026-10-23,Warren Woods Tower,St Clair Shores South Lake,,
2026-10-23,Waterford Kettering,Harrison Township L'Anse Creuse,,
2026-10-23,Watervliet,Kalamazoo Hackett Catholic Prep,,
2026-10-23,Wayland,Grand Rapids Ottawa Hills,,
2026-10-23,West Bloomfield,Utica Eisenhower,,
2026-10-23,West Iron County,Gwinn,,
2026-10-23,White Cloud,Saranac,,
2026-10-23,White Lake Lakeland,South Lyon East,,
2026-10-23,White Pigeon,Decatur,,
2026-10-23,Whitehall,Muskegon Reeths-Puffer,,
2026-10-23,Whitmore Lake,Melvindale,,
2026-10-23,Windsor Holy Names (CN),Windsor St Joseph Catholic (CN),,
2026-10-23,Wyoming,Hart,,
2026-10-23,Wyoming Kelloggsville,Wyoming Godwin Heights,,
2026-10-23,Yale,Holly,,
2026-10-23,Zeeland East,Hamilton,,
2026-10-24,Detroit Leadership Academy,Detroit Pershing,,
2026-10-24,Detroit University Prep,Sandusky,,
2026-10-24,Eureka St. Bernard (CA),Crescent City Del Notre (CA),,
2026-10-24,Mount Clemens,Niles Brandywine,,
2026-10-24,Warren Michigan Collegiate,Eaton Rapids,,
