date,home,away,home_score,away_score
2025-08-28,Dearborn Edsel Ford,Garden City,14,21
2025-08-28,Delton Kellogg,Constantine,6,40
2025-08-28,Detroit Central,Pontiac Notre Dame Prep,0,55
2025-08-28,Detroit Denby,Chelsea,26,41
2025-08-28,Detroit Osborn,Detroit University Prep,18,14
2025-08-28,Detroit Southeastern,Detroit Edison,0,20
2025-08-28,Detroit University Prep Science & Math,Romulus Summit Academy North,6,42
2025-08-28,Detroit Western,Detroit Communication Media Arts,14,46
2025-08-28,DeWitt,Haslett,21,3
2025-08-28,East Grand Rapids,Lowell,7,40
2025-08-28,Eaton Rapids,Lansing Eastern,13,22
2025-08-28,Ecorse,Whitmore Lake,16,8
2025-08-28,Elkton-Pigeon-Bay Port Laker,Ubly,14,0
2025-08-28,Escanaba,Kingsford,21,18
2025-08-28,Essexville Garber,Hemlock,20,18
2025-08-28,Farwell,Hesperia,42,21
2025-08-28,Flint Carman-Ainsworth,Bay City Central,16,41
2025-08-28,Flint Hamady,Ogemaw Heights,8,56
2025-08-28,Fowlerville,Corunna,40,14
2025-08-28,Fraser,Rochester,0,34
2025-08-28,Fremont,Hopkins,14,29
2025-08-28,Fruitport,Spring Lake,14,42
2025-08-28,Gaylord,North Branch,21,14
2025-08-28,Gibraltar Carlson,Wyandotte Roosevelt,42,21
2025-08-28,Gladwin,Flat Rock,26,43
2025-08-28,Goodrich,Frankenmuth,17,14
2025-08-28,Grand Haven,Stevensville Lakeshore,38,0
2025-08-28,Grand Rapids Forest Hills Northern,Grand Rapids Kenowa Hills,28,31
2025-08-28,Grand Rapids Ottawa Hills,Holland,12,47
2025-08-28,Grandville,Muskegon,44,40
2025-08-28,Grayling,Clare,21,39
2025-08-28,Grosse Ile,Ida,7,48
2025-08-28,Grosse Pointe South,Detroit Renaissance,49,0
2025-08-28,Hamtramck,Warren De La Salle Collegiate,8,64
2025-08-28,Hanover-Horton,Monroe Jefferson,28,42
2025-08-28,Harbor Springs,Morley Stanwood,18,16
2025-08-28,Hazel Park,Detroit Loyola,28,22
2025-08-28,Holland West Ottawa,Grand Ledge,27,30
2025-08-28,Homer,Comstock,34,8
2025-08-28,Houghton Lake,Central Montcalm,16,36
2025-08-28,Howard City Tri County,Ovid-Elsie,24,15
2025-08-28,Hudson,Fowler,44,8
2025-08-28,Hudsonville,Byron Center,27,21
2025-08-28,Imlay City,Flint Powers Catholic,14,13
2025-08-28,Iron Mountain,Houghton,41,22
2025-08-28,Ishpeming Westwood,Bark River-Harris,38,52
2025-08-28,Ithaca,St Louis,57,0
2025-08-28,Jenison,Kalamazoo Central,28,7
2025-08-28,Johannesburg-Lewiston,Burton Bendle,34,36
2025-08-28,Jonesville,Hillsdale,28,14
2025-08-28,Kalamazoo Loy Norrix,Jackson Northwest,17,27
2025-08-28,Kalkaska,Elk Rapids,10,0
2025-08-28,Kent City,Newaygo,42,22
2025-08-28,Laingsburg,Saginaw Michigan Lutheran Seminary,0,42
2025-08-28,Lake City,Hart,6,38
2025-08-28,Lake Fenton,New Boston Huron,50,36
2025-08-28,Lake Odessa Lakewood,Wyoming Godwin Heights,8,38
2025-08-28,Lakeview,Mason County Central,0,35
2025-08-28,Lansing Sexton,Lansing Everett,14,24
2025-08-28,Lansing Waverly,Wayland,28,50
2025-08-28,LeRoy Pine River,Harrison,24,30
2025-08-28,Leslie,Stockbridge,44,22
2025-08-28,Linden,Harrison Township L'Anse Creuse,47,14
2025-08-28,Livonia Clarenceville,Melvindale,40,14
2025-08-28,Macomb Dakota,Bloomfield Hills Brother Rice,14,10
2025-08-28,Macomb Lutheran North,Macomb L'Anse Creuse North,28,20
2025-08-28,Madison Heights Lamphere,Ferndale,17,14
2025-08-28,Madison Heights Madison,Madison Heights Bishop Foley,64,16
2025-08-28,Mancelona,Tawas,30,8
2025-08-28,Marlette,Manchester,16,6
2025-08-28,Mason,Holt,19,0
2025-08-28,Melvindale Academy for Business & Tech,Genesee,26,14
2025-08-28,Michigan Center,Onsted,42,0
2025-08-28,Middleville Thornapple Kellogg,Hastings,29,31
2025-08-28,Midland Dow,Fenton,38,6
2025-08-28,Milford,Walled Lake Western,26,51
2025-08-28,Monroe,Plymouth,0,7
2025-08-28,Monroe St Mary Catholic Central,Clinton,42,6
2025-08-28,Montague,Ada Forest Hills Eastern,14,26
2025-08-28,Mt Morris,Clio,20,54
2025-08-28,Muskegon Catholic Central,New Lothrop,7,35
2025-08-28,Muskegon Mona Shores,Grand Blanc,20,35
2025-08-28,Muskegon Oakridge,Muskegon Orchard View,29,14
2025-08-28,Negaunee,Marquette,30,22
2025-08-28,Niles Brandywine,Hartford,8,52
2025-08-28,North Farmington,Livonia Stevenson,20,7
2025-08-28,North Muskegon,Pewamo-Westphalia,6,35
2025-08-28,Novi,Traverse City Central,3,46
2025-08-28,Okemos,Ypsilanti Lincoln,14,42
2025-08-28,Olivet,Mount Pleasant Sacred Heart,57,13
2025-08-28,Ortonville Brandon,Flint Southwestern,62,0
2025-08-28,Otisville LakeVille Memorial,Bath,21,0
2025-08-28,Owosso,Pinckney,21,12
2025-08-28,Parchment,Union City,14,16
2025-08-28,Parma Western,Jackson,27,20
2025-08-28,Pinconning,Detroit Voyageur College Prep,27,42
2025-08-28,Pontiac,Arts & Technology Academy of Pontiac,20,6
2025-08-28,Port Huron,New Baltimore Anchor Bay,0,32
2025-08-28,Portage Central,East Lansing,45,0
2025-08-28,Portage Northern,Orchard Lake St Mary's,0,41
2025-08-28,Portland,Detroit Country Day,30,6
2025-08-28,Quincy,East Jackson,64,6
2025-08-28,Reading,White Pigeon,0,38
2025-08-28,Remus Chippewa Hills,Manistee,15,42
2025-08-28,Richland Gull Lake,Marshall,14,42
2025-08-28,River Rouge,Westland John Glenn,13,7
2025-08-28,Riverview,Utica Eisenhower,16,32
2025-08-28,Riverview Gabriel Richard,Montrose,0,36
2025-08-28,Rochester Adams,Romeo,39,7
2025-08-28,Rochester Hills Lutheran Northwest,Saginaw Valley Lutheran,0,20
2025-08-28,Rochester Hills Stoney Creek,Warren Cousino,42,28
2025-08-28,Rockford,Saline,28,37
2025-08-28,Romulus,Wayne Memorial,26,35
2025-08-28,Roscommon,Oscoda,14,32
2025-08-28,Roseville,Davison,21,38
2025-08-28,Royal Oak,St Clair Shores Lake Shore,17,7
2025-08-28,Royal Oak Shrine Catholic,Bloomfield Hills Cranbrook Kingswood,26,27
2025-08-28,Saginaw Heritage,Mount Pleasant,13,35
2025-08-28,Saginaw Nouvel Catholic Central,Sandusky,14,0
2025-08-28,Saginaw United,Freeland,0,35
2025-08-28,Salem,Utica Ford,54,0
2025-08-28,Sanford Meridian,Midland Bullock Creek,12,18
2025-08-28,Saranac,Vermontville Maple Valley,34,6
2025-08-28,Saugatuck,Buchanan,14,36
2025-08-28,Shepherd,Alma,17,7
2025-08-28,South Haven,Dowagiac,9,35
2025-08-28,Springport,Dansville,51,0
2025-08-28,St Clair,Richmond,19,49
2025-08-28,St Clair Shores Lakeview,Lapeer,21,7
2025-08-28,St Johns,Hamilton,22,14
2025-08-28,Sterling Heights,Ypsilanti Community,6,54
2025-08-28,Sterling Heights Stevenson,Temperance Bedford,41,0
2025-08-28,Taylor,Lincoln Park,22,32
2025-08-28,Tecumseh,Carleton Airport,42,16
2025-08-28,Traverse City West,Howell,13,23
2025-08-28,Troy,Bloomfield Hills,17,13
2025-08-28,Troy Athens,Birmingham Seaholm,28,31
2025-08-28,Utica,Grosse Pointe North,47,14
2025-08-28,Vandercook Lake,Sand Creek,21,14
2025-08-28,Vassar,Burton Atherton,52,19
2025-08-28,Vicksburg,Mattawan,41,14
2025-08-28,Walled Lake Central,Waterford Kettering,46,29
2025-08-28,Warren Fitzgerald,Warren Mott,39,37
2025-08-28,Warren Lincoln,Southfield Bradford Academy,1,0
2025-08-28,Warren Woods Tower,St Clair Shores South Lake,24,14
2025-08-28,Waterford Mott,Walled Lake Northern,0,1
2025-08-28,Waterford Our Lady of the Lakes,New Haven,22,0
2025-08-28,Watervliet,Coloma,18,50
2025-08-28,West Bloomfield,Dearborn Fordson,37,0
2025-08-28,West Iron County,Calumet,0,41
2025-08-28,White Cloud,Shelby,0,57
2025-08-28,White Lake Lakeland,South Lyon,14,42
2025-08-28,Whitehall,Hudsonville Unity Christian,14,55
2025-08-28,Williamston,Lansing Catholic,46,14
2025-08-28,Wyoming,Sparta,0,28
2025-08-28,Wyoming Kelloggsville,Grant,43,14
2025-08-28,Wyoming Lee,Comstock Park,0,1
2025-08-28,Zeeland East,Grand Rapids Union,34,8
2025-08-29,Allen Park,Trenton,47,27
2025-08-29,Detroit Cass Tech,Toledo Central Catholic (OH),28,27
2025-08-29,Flint New Standard Academy,Erie Mason,46,20
2025-08-29,Alpena,Boyne City,13,18
2025-08-29,Ann Arbor Skyline,Dearborn Heights Annapolis,64,0
2025-08-29,Armada,Marine City,21,14
2025-08-29,Auburndale (WI),Marathon (WI),14,12
2025-08-29,Beaverton,Evart,38,36
2025-08-29,Bronson,LaGrange Prairie Heights (IN),31,16
2025-08-29,Center Line,Detroit Henry Ford,34,26
2025-08-29,Cheboygan,Sault Ste Marie,19,7
2025-08-29,Cincinnati Elder (OH),Park Hills Covington Catholic (KY),28,20
2025-08-29,Clarkston Everest Collegiate,Warren Michigan Collegiate,6,32
2025-08-29,Detroit Catholic Central,Clinton Township Chippewa Valley,41,7
2025-08-29,Detroit Douglass,Detroit Community,0,24
2025-08-29,Detroit East English,Detroit Cody,19,20
2025-08-29,Detroit Leadership Academy,Detroit Pershing,0,38
2025-08-29,Galloway Westland (OH),Grove City HS (OH),41,45
2025-08-29,Gladstone,Durand,22,28
2025-08-29,Grand Rapids Christian,Grand Rapids South Christian,13,27
2025-08-29,Grand Rapids West Catholic,Grand Rapids Northview,21,32
2025-08-29,Greenville,Petoskey,13,21
2025-08-29,Hammond Morton (IN),Chesterton (IN),19,20
2025-08-29,Harbor Beach,Cass City,42,8
2025-08-29,Harper Woods Chandler Park,Eastpointe,45,6
2025-08-29,Howards Grove (WI),Jackson Living Word Lutheran (WI),38,19
2025-08-29,Lombard Montini (IL),Jackson Lumen Christi,20,16
2025-08-29,Marine City Cardinal Mooney,Algonac,0,36
2025-08-29,Marinette (WI),Menominee,13,49
2025-08-29,McBain,Edwardsburg,21,28
2025-08-29,Metamora Evergreen (OH),Toledo Ottawa Hills (OH),42,0
2025-08-29,Montpelier (OH),Elmore Woodmore (OH),6,48
2025-08-29,Morris (IL),Wilmington (IL),27,20
2025-08-29,New Lenox Lincoln Way West (IL),Blue Island Eisenhower (IL),47,7
2025-08-29,Niles,St Joseph,28,18
2025-08-29,Oxford,Hartland,23,7
2025-08-29,Pioneer North Central (OH),Paulding (OH),0,61
2025-08-29,Plainwell,Allegan,21,7
2025-08-29,Redford Union,Harper Woods,0,40
2025-08-29,Redford Westfield Prep,Milan,0,43
2025-08-29,Southfield Arts & Technology,East Kentwood,8,43
2025-08-29,Toledo St Francis De Sales (OH),Fort Wayne Bishop Dwenger (IN),15,31
2025-08-29,Toledo St John's Jesuit (OH),Whitehouse Anthony Wayne (OH),24,28
2025-08-29,Toledo Whitmer (OH),Detroit Martin Luther King,7,32
2025-08-29,Traverse City St Francis,Maple City Glen Lake,30,6
2025-08-29,Vestaburg,Manton,0,44
2025-08-29,West Chicago Wheaton Academy (IL),Chicago Providence Catholic (IL),14,49
2025-08-29,Zeeland West,Detroit Old Redford,44,0
2025-08-30,Akron Archbishop Hoban (OH),Archbishop Spalding (MD),28,58
2025-08-30,Cincinnati Moeller (OH),Chicago Mt Carmel (IL),42,43
2025-08-30,Edon (OH),Antwerp (OH),31,19
2025-08-30,Garfield Heights (OH),Erie (PA),14,12
2025-08-30,West Unity Hilltop (OH),Edgerton (OH),0,42
2025-09-04,Detroit Central,Detroit East English,14,6
2025-09-04,Detroit Mumford,Flint Hamady,0,38
2025-09-04,Detroit Renaissance,Kalamazoo Central,0,37
2025-09-04,Detroit Southeastern,Detroit Pershing,22,0
2025-09-04,Detroit Western,Detroit Douglass,28,6
2025-09-05,Ada Forest Hills Eastern,Greenville,42,14
2025-09-05,Adrian Madison,Clinton,27,49
2025-09-05,Akron Archbishop Hoban (OH),Detroit Martin Luther King,23,21
2025-09-05,Algonac,North Branch,6,49
2025-09-05,Allegan,Delton Kellogg,27,22
2025-09-05,Allen Park,Taylor,41,12
2025-09-05,Allen Park Cabrini,Sterling Heights Parkway Christian,42,6
2025-09-05,Almont,Imlay City,31,14
2025-09-05,Armada,Croswell-Lexington,34,12
2025-09-05,Auburn Hills Oakland Christian,Marine City Cardinal Mooney,38,2
2025-09-05,Auburndale (WI),Edgar (WI),0,27
2025-09-05,Bay City John Glenn,Alma,41,0
2025-09-05,Bay City Western,Petoskey,38,32
2025-09-05,Beal City,Manton,35,0
2025-09-05,Belding,Reed City,0,24
2025-09-05,Berkley,Oak Park,0,32
2025-09-05,Big Rapids,Fruitport,39,7
2025-09-05,Birch Run,Montrose,0,42
2025-09-05,Birmingham Groves,Oxford,21,24
2025-09-05,Birmingham Seaholm,Auburn Hills Avondale,44,6
2025-09-05,Blissfield,Hillsdale,47,28
2025-09-05,Bloomfield Hills,Royal Oak,42,7
2025-09-05,Bloomfield Hills Cranbrook Kingswood,Owosso,19,47
2025-09-05,Boyne City,Elk Rapids,36,0
2025-09-05,Brownstown Woodhaven,Ann Arbor Huron,38,14
2025-09-05,Burton Bendle,Burton Atherton,28,15
2025-09-05,Caledonia,Muskegon Reeths-Puffer,56,21
2025-09-05,Calumet,Ishpeming Westwood,55,6
2025-09-05,Canton,Brighton,0,48
2025-09-05,Cass City,Hemlock,54,0
2025-09-05,Cassopolis,Comstock,41,12
2025-09-05,Cedar Springs,Battle Creek Harper Creek,30,20
2025-09-05,Centreville,Stockbridge,39,24
2025-09-05,Charlevoix,Cheboygan,19,6
2025-09-05,Charlotte,Eaton Rapids,48,14
2025-09-05,Cincinnati Elder (OH),Springboro (OH),21,7
2025-09-05,Cincinnati Moeller (OH),Louisville Trinity (KY),24,21
2025-09-05,Clare,Ortonville Brandon,43,20
2025-09-05,Clarkston,Harper Woods,21,27
2025-09-05,Clawson,Center Line,14,24
2025-09-05,Clinton Township Clintondale,Eastpointe,50,8
2025-09-05,Coloma,Buchanan,14,38
2025-09-05,Corunna,Linden,13,39
2025-09-05,Dansville,Bath,0,42
2025-09-05,Davison,Warren De La Salle Collegiate,23,21
2025-09-05,Dearborn,Livonia Churchill,26,20
2025-09-05,Dearborn Divine Child,Lake Fenton,35,0
2025-09-05,Dearborn Edsel Ford,Gibraltar Carlson,0,68
2025-09-05,Dearborn Fordson,Belleville,18,28
2025-09-05,Dearborn Heights Annapolis,Garden City,6,43
2025-09-05,Dearborn Heights Crestwood,Redford Thurston,16,14
2025-09-05,Decatur,Bronson,26,20
2025-09-05,Detroit Cass Tech,Grandville,31,28
2025-09-05,Detroit Community,Mount Clemens,16,14
2025-09-05,Detroit Henry Ford,Detroit University Prep Science & Math,14,13
2025-09-05,Detroit Leadership Academy,Southfield Bradford Academy,12,36
2025-09-05,Detroit U of D Jesuit,Bloomfield Hills Brother Rice,7,35
2025-09-05,Detroit University Prep,Detroit Cody,0,16
2025-09-05,Detroit Voyageur College Prep,Detroit Lincoln-King,18,6
2025-09-05,DeWitt,Mason,44,37
2025-09-05,Durand,New Lothrop,40,33
2025-09-05,East Kentwood,Byron Center,43,14
2025-09-05,East Lansing,Hudsonville,6,37
2025-09-05,Ecorse,Detroit Old Redford,22,14
2025-09-05,Elkton-Pigeon-Bay Port Laker,Vassar,36,0
2025-09-05,Escanaba,Cadillac,36,7
2025-09-05,Farwell,Detroit Osborn,58,0
2025-09-05,Fenton,Haslett,14,15
2025-09-05,Flat Rock,Monroe St Mary Catholic Central,20,36
2025-09-05,Flint Carman-Ainsworth,Grand Blanc,6,56
2025-09-05,Flint Powers Catholic,Essexville Garber,23,24
2025-09-05,Flint Southwestern,Pinconning,6,45
2025-09-05,Flushing,Zeeland East,13,14
2025-09-05,Frankenmuth,Saginaw Swan Valley,21,14
2025-09-05,Fraser,Sterling Heights,38,8
2025-09-05,Freeland,Bridgeport,60,0
2025-09-05,Galesburg-Augusta,Plainwell,20,34
2025-09-05,Galloway Westland (OH),Grove City Central Crossing (OH),33,0
2025-09-05,Genesee,Flint New Standard Academy,20,16
2025-09-05,Grand Ledge,Battle Creek Lakeview,35,6
2025-09-05,Grand Rapids Catholic Central,Hamilton St Thomas More (CN),35,10
2025-09-05,Grand Rapids Forest Hills Central,Portage Central,0,41
2025-09-05,Grand Rapids Kenowa Hills,Paw Paw,48,27
2025-09-05,Grand Rapids Northview,Vicksburg,23,21
2025-09-05,Grand Rapids Ottawa Hills,Kalamazoo Loy Norrix,8,37
2025-09-05,Grand Rapids South Christian,East Grand Rapids,0,21
2025-09-05,Grand Rapids West Catholic,Coopersville,34,0
2025-09-05,Grass Lake,Jonesville,34,38
2025-09-05,Grayling,Benzie Central,35,6
2025-09-05,Gwinn,Manistique,0,1
2025-09-05,Hamilton,Middleville Thornapple Kellogg,27,28
2025-09-05,Hammond Morton (IN),Alan b. Shepard HS (IL),42,20
2025-09-05,Hamtramck,Redford Westfield Prep,29,6
2025-09-05,Hancock,Menominee,0,1
2025-09-05,Harrison Township L'Anse Creuse,Utica Eisenhower,7,33
2025-09-05,Hart,Ravenna,16,8
2025-09-05,Hartford,White Pigeon,0,42
2025-09-05,Hartland,Novi,30,0
2025-09-05,Hastings,Williamston,29,36
2025-09-05,Hesperia,Grant,0,35
2025-09-05,Holland,South Haven,26,23
2025-09-05,Holland Christian,Comstock Park,35,19
2025-09-05,Holly,Farmington,20,18
2025-09-05,Holt,Swartz Creek,41,0
2025-09-05,Homer,Wyoming,14,16
2025-09-05,Hopkins,Parchment,42,8
2025-09-05,Houghton Lake,Evart,14,8
2025-09-05,Howard City Tri County,Sanford Meridian,34,20
2025-09-05,Howards Grove (WI),Manitowoc Roncalli HS (WI),16,50
2025-09-05,Howell,Salem,35,20
2025-09-05,Ionia,St Johns,16,49
2025-09-05,Iron Mountain,Bark River-Harris,22,30
2025-09-05,Jackson,Chelsea,12,35
2025-09-05,Jackson Lumen Christi,Pontiac Notre Dame Prep,54,34
2025-09-05,Jackson Northwest,Adrian,21,24
2025-09-05,Johannesburg-Lewiston,East Jordan,0,51
2025-09-05,Kalamazoo Hackett Catholic Prep,Allendale,20,6
2025-09-05,Kingsley,Gaylord,14,21
2025-09-05,L'Anse,West Iron County,20,14
2025-09-05,LaGrange Prairie Heights (IN),LaGrange Lakeland (IN),6,40
2025-09-05,Laingsburg,Fowler,7,48
2025-09-05,Lake Odessa Lakewood,Benton Harbor,56,6
2025-09-05,Lake Orion,Rochester Hills Stoney Creek,20,29
2025-09-05,Lansing Catholic,Olivet,10,34
2025-09-05,Lansing Eastern,Clio,13,34
2025-09-05,Lansing Everett,Battle Creek Central,36,29
2025-09-05,Lansing Sexton,Portland,12,49
2025-09-05,Lansing Waverly,Constantine,6,36
2025-09-05,Lapeer,Goodrich,14,21
2025-09-05,Lawton,Ithaca,7,36
2025-09-05,Leslie,Addison,34,8
2025-09-05,Livonia Clarenceville,Macomb Lutheran North,0,32
2025-09-05,Livonia Franklin,Westland John Glenn,19,14
2025-09-05,Lombard Montini (IL),Country Club Hills Hillcrest (IL),35,12
2025-09-05,Macomb L'Anse Creuse North,Macomb Dakota,0,30
2025-09-05,Mancelona,Harbor Springs,42,6
2025-09-05,Manchester,Vandercook Lake,54,3
2025-09-05,Manistee,Fremont,36,24
2025-09-05,Mansfield (MA),Bridgewater-Raynham (MA),24,21
2025-09-05,Maple City Glen Lake,Frankfort,42,6
2025-09-05,Marine City,Madison Heights Madison,71,30
2025-09-05,Marinette (WI),Sturgeon Bay (WI),62,0
2025-09-05,Marquette,Alpena,41,13
2025-09-05,Marshall,Fowlerville,30,34
2025-09-05,Marysville,Hazel Park,23,15
2025-09-05,Mason County Central,Ludington,13,54
2025-09-05,Mattawan,Lowell,20,49
2025-09-05,McBain,LeRoy Pine River,50,16
2025-09-05,Melvindale,Dearborn Heights Robichaud,0,1
2025-09-05,Michigan Center,Brooklyn Columbia Central,49,14
2025-09-05,Midland Bullock Creek,Carrollton,50,8
2025-09-05,Millington,Standish-Sterling,53,14
2025-09-05,Monroe,Dexter,7,48
2025-09-05,Monroe Jefferson,Carleton Airport,43,7
2025-09-05,Montpelier (OH),Edgerton (OH),28,29
2025-09-05,Morley Stanwood,Remus Chippewa Hills,14,27
2025-09-05,Morris (IL),Mahomet Seymour HS (IL),33,14
2025-09-05,Mt Morris,Ovid-Elsie,6,43
2025-09-05,Muskegon,Rockford,26,30
2025-09-05,Muskegon Mona Shores,River Rouge,16,6
2025-09-05,Muskegon Oakridge,Montague,15,7
2025-09-05,New Lenox Lincoln Way West (IL),Lockport Township (IL),21,17
2025-09-05,New Market Huron Heights (CN),Chatham Ursuline College (CN),37,0
2025-09-05,Newaygo,Central Montcalm,24,28
2025-09-05,North Farmington,Walled Lake Western,27,31
2025-09-05,North Muskegon,Shelby,33,30
2025-09-05,Northville,Plymouth,35,15
2025-09-05,Ogemaw Heights,Traverse City St Francis,32,42
2025-09-05,Onsted,Dundee,21,0
2025-09-05,Oscoda,Kalkaska,14,20
2025-09-05,Otisville LakeVille Memorial,Chesaning,28,0
2025-09-05,Otsego,Berrien Springs,14,32
2025-09-05,Parma Western,Traverse City Central,14,50
2025-09-05,Perry,Wyoming Kelloggsville,28,48
2025-09-05,Petersburg Summerfield,Detroit Northwestern,40,6
2025-09-05,Pewamo-Westphalia,Saranac,52,0
2025-09-05,Pontiac,Troy Athens,16,44
2025-09-05,Port Huron,Warren Fitzgerald,38,36
2025-09-05,Reese,Waterford Our Lady of the Lakes,22,12
2025-09-05,Richland Gull Lake,Coldwater,8,38
2025-09-05,Richmond,Yale,21,0
2025-09-05,Riverview,Milan,45,14
2025-09-05,Riverview Gabriel Richard,Muskegon Catholic Central,41,40
2025-09-05,Rochester Adams,Rochester,31,3
2025-09-05,Rochester Hills Lutheran Northwest,Center Line Prep Academy,35,12
2025-09-05,Romeo,Grosse Pointe South,18,21
2025-09-05,Romulus Summit Academy North,Harper Woods Chandler Park,26,6
2025-09-05,Roscommon,Lake City,28,34
2025-09-05,Roseville,New Baltimore Anchor Bay,30,7
2025-09-05,Royal Oak Shrine Catholic,Lutheran Westland,39,0
2025-09-05,Saginaw Heritage,Midland Dow,34,49
2025-09-05,Saginaw Michigan Lutheran Seminary,Beaverton,40,8
2025-09-05,Saginaw Nouvel Catholic Central,Detroit Loyola,41,6
2025-09-05,Saginaw United,Mount Pleasant,0,35
2025-09-05,Saline,Ann Arbor Skyline,50,0
2025-09-05,Sand Creek,Quincy,26,56
2025-09-05,Sandusky,Marlette,36,14
2025-09-05,Saugatuck,Lakeview,40,6
2025-09-05,Schoolcraft,Hudsonville Unity Christian,19,40
2025-09-05,South Lyon,Waterford Kettering,55,6
2025-09-05,South Lyon East,Walled Lake Central,49,19
2025-09-05,Southgate Anderson,Lincoln Park,25,27
2025-09-05,Spring Lake,Gladwin,49,14
2025-09-05,Springport,Reading,43,18
2025-09-05,St Clair Shores Lakeview,Clinton Township Chippewa Valley,28,7
2025-09-05,St Clair Shores South Lake,New Haven,24,6
2025-09-05,St John Lake Central (IN),Portage (IN),26,0
2025-09-05,St Joseph,Edwardsburg,37,40
2025-09-05,St Louis,Saginaw Valley Lutheran,0,42
2025-09-05,Stevensville Lakeshore,Niles,0,16
2025-09-05,Sturgis,Battle Creek Pennfield,12,34
2025-09-05,Swanton (OH),Toledo Ottawa Hills (OH),0,12
2025-09-05,Tawas,Erie Mason,44,14
2025-09-05,Tecumseh,Pinckney,31,21
2025-09-05,Temperance Bedford,Ann Arbor Pioneer,23,13
2025-09-05,Three Rivers,Dowagiac,21,17
2025-09-05,Toledo Central Catholic (OH),Detroit Catholic Central,14,27
2025-09-05,Toledo St Francis De Sales (OH),Sandusky Perkins (OH),30,24
2025-09-05,Toledo St John's Jesuit (OH),Orchard Lake St Mary's,10,42
2025-09-05,Toledo Whitmer (OH),Sylvania Southview (OH),48,0
2025-09-05,Traverse City West,Grand Haven,32,14
