date,home,away,home_score,away_score
2025-08-21,Galloway Westland (OH),Columbus Centennial (OH),49,0
2025-08-22,Akron Archbishop Hoban (OH),Columbus Harvest Prep (OH),31,12
2025-08-22,Antwerp (OH),Montpelier (OH),16,24
2025-08-22,Auburndale (WI),Spencer (WI),35,27
2025-08-22,Cincinnati Elder (OH),Lanham Mt. Zion Prep (MD),34,0
2025-08-22,Edgerton (OH),Edon (OH),41,14
2025-08-22,Elmore Woodmore (OH),Pioneer North Central (OH),57,0
2025-08-22,Garfield Heights (OH),Rocky River Lutheran West (OH),55,8
2025-08-22,Hammond Morton (IN),Portage (IN),35,7
2025-08-22,Howards Grove (WI),Milwaukee King (WI),20,14
2025-08-22,LaGrange Prairie Heights (IN),Whitko (IN),22,30
2025-08-22,Marinette (WI),Clintonville (WI),51,6
2025-08-22,Morral Ridgedale (OH),West Unity Hilltop (OH),28,14
2025-08-22,St John Lake Central (IN),Munster (IN),45,28
2025-08-22,Toledo Ottawa Hills (OH),Gibsonburg (OH),14,49
2025-08-22,Toledo St Francis De Sales (OH),Toledo MR Waite (OH),64,19
2025-08-22,Toledo Whitmer (OH),Dublin Coffman (OH),30,0
2025-08-23,Cincinnati Moeller (OH),Cincinnati Princeton (OH),41,20
2025-08-23,Clarkson Football North (CN),Harrisburg Bishop McDevitt (PA),27,7
2025-08-28,Lake Orion,Northville,13,14
2025-08-28,Flint Beecher,Petersburg Summerfield,14,55
2025-08-28,Reese,Millington,12,35
2025-08-28,Belleville,Clarkston,7,38
2025-08-28,Addison,Clinton Township Clintondale,18,20
2025-08-28,Adrian,Dundee,21,0
2025-08-28,Adrian Madison,Grass Lake,56,0
2025-08-28,Allen Park Cabrini,Detroit Northwestern,41,8
2025-08-28,Allendale,Holland Christian,24,32
2025-08-28,Almont,Marysville,24,21
2025-08-28,Ann Arbor Father Gabriel Richard,Lutheran Westland,57,13
2025-08-28,Ann Arbor Huron,Flint Kearsley,47,6
2025-08-28,Ann Arbor Pioneer,Flushing,27,24
2025-08-28,Battle Creek Harper Creek,Battle Creek Lakeview,42,0
2025-08-28,Battle Creek Pennfield,Otsego,26,32
2025-08-28,Bay City John Glenn,South Lyon East,24,17
2025-08-28,Bay City Western,Holly,34,0
2025-08-28,Belding,Ionia,63,7
2025-08-28,Benton Harbor,Battle Creek Central,0,52
2025-08-28,Benzie Central,Frankfort,13,20
2025-08-28,Berkley,Livonia Franklin,7,34
2025-08-28,Berrien Springs,Kalamazoo Hackett Catholic Prep,20,13
2025-08-28,Birmingham Groves,Detroit U of D Jesuit,42,7
2025-08-28,Blissfield,Ottawa Lake Whiteford,0,56
2025-08-28,Bridgeport,Caro,0,66
2025-08-28,Brighton,Dexter,27,50
2025-08-28,Brooklyn Columbia Central,Napoleon,29,48
2025-08-28,Brownstown Woodhaven,Southgate Anderson,28,0
2025-08-28,Burton Bentley,Auburn Hills Oakland Christian,14,26
2025-08-28,Cadillac,Midland,21,35
2025-08-28,Caledonia,Windsor Holy Names (CN),36,0
2025-08-28,Carrollton,Birch Run,8,49
2025-08-28,Cassopolis,Galesburg-Augusta,20,62
2025-08-28,Cedar Springs,Auburn Hills Avondale,57,7
2025-08-28,Center Line Prep Academy,Dearborn Heights Robichaud,0,40
2025-08-28,Centreville,Schoolcraft,13,14
2025-08-28,Charlotte,Three Rivers,32,33
2025-08-28,Coldwater,Sturgis,44,6
2025-08-28,Coopersville,Ludington,13,40
2025-08-28,Croswell-Lexington,Saginaw Swan Valley,35,55
2025-08-28,Dearborn Divine Child,Detroit Mumford,56,0
